Source;Target;Type;Weight
dellaterrabeauty;urbandecaycosmetics;Directed;1
stacybmakeup;filipevcosta;Directed;1
lulutetseo;vogueindia;Directed;2
xoxofrombritt;maybeline;Directed;1
iamdawnmccoy;casa;Directed;1
xolaurenhoward;dove;Directed;1
itsayaseyer;mizon_official;Directed;1
rachaelburgessmusic;neutrogena;Directed;1
creaciones.misangelitas;larocheposayusa;Directed;1
mariselalala_;smashboxcosmetics;Directed;1
aveenous;swaninflight;Directed;1
salytm;lorealmakeup;Directed;1
seizaticas;ronnajones;Directed;2
sarastrong77;dove;Directed;2
natalie_barbu;neutrogena;Directed;2
munawar_shariff;junejacobsspa;Directed;1
s.rus_makeupartistry;dermalogica;Directed;1
beauty_and_yankeecandles;loccitane;Directed;1
jelly_doll7;elfcosmetics;Directed;1
itsdendo;zacefron;Directed;1
beautydebate;biodermausa;Directed;3
theserumbottle;peterthomasrothofficial;Directed;2
cindyjag;sigmabeauty;Directed;1
cessang24;dove;Directed;2
beauty.make.up.tv;thebalm_cosmetics;Directed;1
parkavenuemedicalspa;skinceuticals;Directed;2
desireefalconmakeup;aveneusa;Directed;1
eventgoddess_;springstudios;Directed;1
missjfinds;eosproducts;Directed;2
lorijaebeauty;cetaphilus;Directed;1
organiceit;aakritiranagill;Directed;2
aveenous;kingsley_junior_1;Directed;1
htp_;localona1;Directed;1
curlyourlashes;mineralfusionnaturalbrands;Directed;1
neutrogena;skinconversations;Directed;1
blackberry_russia;blackberry;Directed;1
madchemmott;riteaid;Directed;1
satya_linak;occmakeup;Directed;20
marktownsend1;elizabetholsenofficial;Directed;5
umutkursunoglu;dermalogica;Directed;1
neutrogena;bitajazani;Directed;1
moniika513;neutrogena;Directed;1
gorjess;lorealmakeup;Directed;3
_isamonster_;essencemakeup;Directed;1
valelorenbeauty;dermalogica;Directed;1
glamourbyhosway;kelly_crownbrush;Directed;2
bodysolespatherapies;skinceuticals;Directed;2
russo_suave;sinbadbad;Directed;1
neutrogena;sauceiix;Directed;2
pricelessbeautygram;maccosmetics;Directed;1
medicalphy;globaldermie;Directed;2
kd.sea;cargocosmetics;Directed;1
beautybyjulia;crest;Directed;1
svbeautii;biodermausa;Directed;1
love4hairnbeauty;goodal;Directed;1
makeupartistautumn;essencemakeup;Directed;1
beautyinthebag;neostrata;Directed;1
rebeccacombstv;pmdbeauty;Directed;1
pretty_thingssa;dove;Directed;2
bedstuy514;cliomakeup_official;Directed;1
fuchsiaangie;skinlaundry;Directed;1
mckenziehurst84;spa310;Directed;1
makeup_mba;nadiabeny;Directed;1
leticialepuff;m61skincare;Directed;1
caitlinwiththerose;kloraneusa;Directed;1
sadierosvanity;milkmakeup;Directed;1
thestraling;zoellabeauty;Directed;1
vaisshali_makeovers;maybelline;Directed;3
aliciafashionista;tovogueorbust;Directed;1
cathysliu;sigmabeauty;Directed;1
jelly_doll7;clinique;Directed;1
cosmobylindee;maybelline;Directed;2
fabmomlife;neutrogena;Directed;1
rhonda.lovell;thecreatedco;Directed;1
ocfacialcarecenter;epionce;Directed;1
blackberryclubs;rahuabeauty;Directed;1
st.kristal;skinceuticals;Directed;3
clearskindoc;drheidigoodarzi;Directed;1
